Time(ms),Acc_x(g),Acc_y(g),Acc_z(g),Gyro_x,Gyro_y,Gyro_z,CO2(ppm)
226922,-0.19,1.002,0.117,13.611,25.282,-1.489,0
226932,-0.207,1.021,0.167,15.832,19.794,1.511,0
226942,-0.198,1.056,0.142,10.084,10.55,2.763,0
226964,-0.192,1.001,0.16,-1.374,-1.252,1.618,0
226964,0,0,0,0,0,0,1148
226972,-0.18,0.989,0.127,-5.122,-3.885,1.244,0
226982,-0.179,0.97,0.093,-8.107,-6.305,0.611,0
226992,-0.176,0.952,0.113,-8.076,-10.099,-0.183,0
227014,-0.155,0.983,0.179,-4.092,-18.626,0.588,0
227014,0,0,0,0,0,0,1201
227022,-0.125,1.008,0.19,-4.229,-20,0.069,0
227032,-0.152,0.912,0.2,0.779,-18.779,-2.29,0
227042,-0.149,0.972,0.089,-8.595,-21.053,-2.244,0
227064,-0.119,0.961,-0.039,12.45,-27.924,5.557,0
227064,0,0,0,0,0,0,1195
227072,-0.162,0.969,-0.034,11.588,-17.649,4.771,0
227082,-0.156,0.88,-0.057,6.672,-8.733,1.298,0
227092,-0.171,0.913,-0.014,2.076,-2.832,0.221,0
227114,-0.165,0.951,0.058,2.786,2.412,0.321,0
227114,0,0,0,0,0,0,1163
227122,-0.166,0.966,0.075,3.42,2.687,0.992,0
227132,-0.166,0.991,0.08,3.84,1.908,1.374,0
227142,-0.168,0.99,0.083,2.092,1.443,1.626,0
227164,-0.165,0.984,0.087,-1.42,0.214,0.412,0
227164,0,0,0,0,0,0,1144
227172,-0.163,0.973,0.077,-2.382,-0.405,0.305,0
227182,-0.166,0.967,0.066,-3.076,-0.565,0.427,0
227192,-0.165,0.961,0.064,-3.031,-0.87,-0.13,0
227214,-0.164,0.963,0.049,0.313,-0.634,0.084,0
227214,0,0,0,0,0,0,1146
227222,-0.169,0.964,0.047,0.718,-0.924,-0.168,0
227232,-0.162,0.965,0.047,0.328,-1.053,0.267,0
227242,-0.166,0.971,0.059,0.611,-0.802,0.481,0
227264,-0.158,0.97,0.066,-2.748,-0.824,0.55,0
227264,0,0,0,0,0,0,1163
227272,-0.16,0.968,0.07,-3.221,-0.718,0.695,0
227282,-0.163,0.964,0.071,-3.076,-1.252,0.977,0
227292,-0.158,0.965,0.075,-2.656,-0.763,0.863,0
227314,0,0,0,0,0,0,1133
227314,-0.157,0.972,0.074,-1.267,0.038,0.687,0
227322,-0.162,0.973,0.065,-2.061,-0.008,0.214,0
227332,-0.16,0.96,0.068,-2.298,0.145,0.16,0
227342,-0.158,0.959,0.067,-1.786,-0.13,-0.061,0
227364,-0.166,0.96,0.065,-0.031,-0.718,0.237,0
227364,0,0,0,0,0,0,1141
227372,-0.166,0.962,0.059,0.901,-0.038,0.397,0
227382,-0.16,0.963,0.049,2.321,0.145,0.427,0
227392,-0.163,0.972,0.063,1.847,0.153,0.985,0
227414,-0.155,0.974,0.063,-0.817,-0.115,-0.023,0
227414,0,0,0,0,0,0,1163
227422,-0.163,0.972,0.061,-1.069,-0.374,-0.26,0
227432,-0.162,0.964,0.067,-1.008,-0.069,0.344,0
227442,-0.157,0.966,0.064,-0.214,-0.092,0.321,0
227464,0,0,0,0,0,0,1137
227464,-0.153,0.969,0.068,-1.053,0.198,0.084,0
227472,-0.161,0.96,0.072,-1.863,0.237,-0.26,0
227482,-0.151,0.957,0.075,-0.832,0.847,-0.443,0
227492,-0.165,0.97,0.074,0.649,1.084,-0.786,0
227514,-0.165,0.962,0.058,-0.656,0.641,-1.351,0
227514,0,0,0,0,0,0,1130
227522,-0.169,0.96,0.064,-0.382,0.244,-1.122,0
227532,-0.167,0.962,0.072,1.313,-0.824,-0.374,0
227542,-0.166,0.974,0.061,1.481,-1.397,0.069,0
227564,-0.162,0.969,0.07,-2.244,-1.794,0.588,0
227564,0,0,0,0,0,0,1163
227572,-0.162,0.964,0.075,-1.832,-1.344,0.863,0
227582,-0.16,0.961,0.085,0,-1.313,1.29,0
227592,-0.155,0.966,0.074,0.824,-0.115,1.405,0
227614,0,0,0,0,0,0,1157
227614,-0.155,0.966,0.073,-0.489,0.771,0.351,0
227622,-0.156,0.96,0.075,-0.214,0.748,0.16,0
227632,-0.157,0.961,0.072,0.969,0.611,0.168,0
227642,-0.164,0.967,0.068,2.038,0.885,0.008,0
227664,-0.163,0.963,0.07,1.42,0.885,-0.435,0
227664,0,0,0,0,0,0,1131
227672,-0.165,0.961,0.068,1.137,0.863,-0.427,0
227682,-0.161,0.965,0.068,1.595,0.771,-0.115,0
227692,-0.164,0.968,0.064,1.832,0.473,-0.015,0
227714,0,0,0,0,0,0,1135
227714,-0.159,0.97,0.066,-0.458,0.221,0.313,0
227722,-0.159,0.973,0.069,0.282,-0.221,0.145,0
227732,-0.163,0.964,0.078,0.969,-0.168,0.214,0
227742,-0.165,0.977,0.074,0.924,-0.382,-0.198,0
227764,-0.164,0.968,0.071,0.328,-0.038,-0.443,0
227764,0,0,0,0,0,0,1167
227772,-0.165,0.968,0.071,0.366,-0.275,-0.214,0
227782,-0.155,0.968,0.068,1.046,-0.168,-0.168,0
227792,-0.16,0.967,0.067,1.275,0.115,0.076,0
227814,-0.164,0.967,0.063,1.351,-0.305,0.038,0
227814,0,0,0,0,0,0,1182
227822,-0.16,0.965,0.063,1.031,-0.298,0.145,0
227832,-0.167,0.964,0.07,0.557,0,0.069,0
227842,-0.162,0.962,0.075,-0.061,0.427,-0.061,0
227864,-0.164,0.966,0.077,0.687,0.481,-0.069,0
227864,0,0,0,0,0,0,1163
227872,-0.165,0.967,0.068,0.87,0.557,-0.359,0
227882,-0.161,0.969,0.064,0.802,0.282,-0.237,0
227892,-0.152,0.966,0.071,0.985,0.328,-0.511,0
227915,-0.161,0.969,0.059,1.527,-0.076,-0.29,0
227914,0,0,0,0,0,0,1137
227922,-0.164,0.967,0.059,1.031,-0.069,-0.282,0
227932,-0.162,0.968,0.063,0.985,0.038,-0.137,0
227942,-0.163,0.971,0.067,1.389,0.313,-0.221,0
227964,0,0,0,0,0,0,1170
227965,-0.162,0.973,0.072,-0.046,-0.038,-0.023,0
227972,-0.161,0.968,0.084,-0.618,0.069,-0.092,0
227982,-0.159,0.966,0.081,-0.511,0.061,0,0
227992,-0.164,0.96,0.071,0,0.588,0.122,0
228014,0,0,0,0,0,0,1190
228015,-0.162,0.959,0.071,0.84,0.198,0.702,0
228022,-0.159,0.963,0.07,1.16,-0.168,0.656,0
228032,-0.159,0.971,0.07,0.756,0.031,0.847,0
228042,-0.161,0.966,0.076,0.198,0.252,0.282,0
228064,0,0,0,0,0,0,1176
228065,-0.161,0.965,0.074,0.687,0.824,-0.214,0
228072,-0.166,0.967,0.063,0.023,1.145,-0.267,0
228082,-0.167,0.96,0.068,0.092,1.191,-0.42,0
228092,-0.168,0.955,0.074,1.084,1.16,-0.42,0
228114,0,0,0,0,0,0,1148
228114,-0.168,0.974,0.063,2.13,0.038,-0.076,0
228122,-0.163,0.984,0.062,1.061,-0.565,0.695,0
228132,-0.164,0.973,0.069,-0.206,-0.344,0.053,0
228142,-0.169,0.972,0.076,-0.29,-0.435,0.313,0
228164,-0.166,0.972,0.074,-0.519,-0.26,0.489,0
228164,0,0,0,0,0,0,1142
228172,-0.167,0.975,0.072,-1.069,-0.069,0.649,0
228182,-0.161,0.972,0.081,-0.527,-0.137,0.473,0
228192,-0.155,0.969,0.075,-0.008,0.229,0.328,0
228214,-0.162,0.961,0.064,-0.855,0.13,-0.13,0
228214,0,0,0,0,0,0,1167
228222,-0.165,0.957,0.069,-0.298,-0.031,-0.061,0
228232,-0.155,0.954,0.075,0.42,0.412,-0.328,0
228242,-0.166,0.955,0.065,0.924,0.328,-0.275,0
228264,-0.159,0.966,0.075,0.664,0.71,0.153,0
228264,0,0,0,0,0,0,1195
228272,-0.159,0.965,0.072,0.649,1.031,0.229,0
228282,-0.161,0.97,0.074,1.26,1.076,0.282,0
228292,-0.159,0.974,0.072,0.55,0.962,0.183,0
228314,0,0,0,0,0,0,1222
228314,-0.164,0.971,0.068,-0.137,1.534,-0.198,0
228322,-0.167,0.968,0.063,-1,0.282,-0.145,0
228332,-0.161,0.969,0.066,-0.71,0.198,0.061,0
228342,-0.167,0.966,0.073,-0.359,0.191,0.359,0
228364,-0.169,0.973,0.066,0.702,0.176,0.382,0
228364,0,0,0,0,0,0,1239
228372,-0.163,0.967,0.064,0.084,-0.092,0.634,0
228382,-0.164,0.963,0.072,-0.092,0.053,0.412,0
228392,-0.166,0.961,0.067,-0.061,0.496,0.237,0
228414,-0.161,0.966,0.061,-0.412,0.053,0.198,0
228414,0,0,0,0,0,0,1282
228422,-0.163,0.961,0.067,-0.351,0.328,-0.206,0
228432,-0.162,0.96,0.071,0.321,0.099,0.137,0
228442,-0.165,0.966,0.077,1.137,0.084,0.26,0
228464,-0.16,0.968,0.066,0.977,0.092,0.298,0
228464,0,0,0,0,0,0,1304
228472,-0.166,0.974,0.068,0.267,0.214,0.359,0
228482,-0.161,0.966,0.068,0.053,0.244,-0.069,0
228492,-0.167,0.967,0.076,-0.237,0.382,-0.099,0
228514,-0.162,0.973,0.064,0.939,0.389,-0.137,0
228514,0,0,0,0,0,0,1278
228522,-0.165,0.971,0.075,0.87,0.069,0.267,0
228532,-0.167,0.97,0.067,1.26,-0.031,0.206,0
228542,-0.162,0.969,0.072,1.115,0.122,0.466,0
228565,-0.159,0.969,0.071,0.107,-0.183,0.427,0
228564,0,0,0,0,0,0,1268
228572,-0.159,0.964,0.069,0.389,0.053,0.542,0
228582,-0.161,0.968,0.066,0.855,-0.275,0.977,0
228592,-0.156,0.969,0.07,1.153,-0.092,1.336,0
228614,0,0,0,0,0,0,1290
228614,-0.157,0.967,0.068,2.397,-0.244,0.595,0
228622,-0.16,0.974,0.066,1.74,-0.008,0.29,0
228632,-0.163,0.974,0.074,0.26,0.313,-0.176,0
228642,-0.156,0.966,0.075,-0.313,0.786,-0.458,0
228664,-0.168,0.961,0.064,0.527,-0.076,-0.534,0
228664,0,0,0,0,0,0,1321
228672,-0.17,0.961,0.062,0.969,-0.168,-0.038,0
228682,-0.166,0.966,0.065,1.626,-0.466,0.176,0
228692,-0.163,0.968,0.063,0.954,-0.763,0.427,0
228715,-0.167,0.975,0.068,0.947,0.282,0.107,0
228714,0,0,0,0,0,0,1317
228722,-0.163,0.975,0.067,0.069,0.336,0.214,0
228732,-0.161,0.968,0.07,0.137,0.038,0.16,0
228742,-0.165,0.97,0.073,0.412,-0.366,0.519,0
228764,0,0,0,0,0,0,1306
228764,-0.155,0.979,0.073,0.916,-0.221,0.603,0
228772,-0.158,0.972,0.065,0.763,0.069,0.71,0
228782,-0.158,0.972,0.072,0.435,0.26,0.504,0
228792,-0.157,0.969,0.074,-0.221,0.595,0.504,0
228814,-0.156,0.961,0.076,-0.435,1.084,0.099,0
228814,0,0,0,0,0,0,1306
228822,-0.157,0.967,0.077,0.015,1.053,0.092,0
228832,-0.16,0.965,0.072,0.26,0.977,-0.099,0
228842,-0.16,0.965,0.073,0.397,0.786,-0.092,0
228865,-0.164,0.963,0.068,0.153,1.229,0.137,0
228864,0,0,0,0,0,0,1345
228872,-0.16,0.962,0.069,-0.061,1.031,0.359,0
228882,-0.16,0.964,0.071,0.282,1.069,0.443,0
228892,-0.161,0.967,0.072,0.305,1.153,0.931,0
228914,-0.165,0.972,0.069,1.389,0.756,0.832,0
228914,0,0,0,0,0,0,1376
228922,-0.162,0.977,0.076,1.405,1.046,0.565,0
228932,-0.165,0.973,0.062,1.099,1.191,0.389,0
228942,-0.162,0.97,0.068,0.817,0.435,0.115,0
228964,-0.17,0.968,0.07,-0.183,0.412,0.198,0
228964,0,0,0,0,0,0,1341
228972,-0.162,0.963,0.07,-0.336,0.473,0.45,0
228982,-0.162,0.969,0.073,0.244,0.137,0.198,0
228992,-0.163,0.968,0.071,0.527,0.305,0.321,0
229014,-0.16,0.967,0.06,1.588,0.031,0.198,0
