Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
10,-0.973,-0.102,-0.184,5.725,-1.641,-0.947,0
20,-0.989,-0.133,-0.224,6.344,-0.893,0.229,0
30,-1.012,-0.103,-0.265,5.641,-0.115,0.344,0
40,-0.968,-0.114,-0.198,4.458,-1.511,-0.168,0
50,-0.984,-0.114,-0.212,5.931,0.282,0.595,363
60,-0.973,-0.105,-0.218,6.145,-0.160,0.435,0
70,-0.972,-0.108,-0.219,5.397,-1.000,0.374,0
80,-0.983,-0.111,-0.226,3.885,-2.985,0.145,0
90,-0.994,-0.112,-0.232,2.313,-2.977,-0.015,0
100,-0.999,-0.119,-0.247,0.504,-3.000,0.824,366
110,-1.002,-0.125,-0.263,-3.779,-2.809,1.000,0
120,-1.004,-0.125,-0.269,-5.344,-2.611,1.160,0
130,-1.022,-0.114,-0.295,-8.649,-2.122,1.458,0
140,-1.039,-0.097,-0.314,-13.901,-1.191,1.947,0
150,-1.050,-0.091,-0.338,-20.595,-0.527,2.382,388
160,-1.033,-0.102,-0.297,-31.046,-0.496,3.336,0
170,-1.037,-0.096,-0.291,-34.336,-0.565,3.885,0
180,-1.005,-0.102,-0.192,-34.771,1.710,5.046,0
190,-1.063,-0.115,-0.276,-28.565,4.542,6.885,0
200,-0.937,-0.150,-0.093,-24.473,5.695,6.053,402
210,-0.868,-0.144,0.050,-1.603,3.672,4.198,0
220,-0.959,-0.137,-0.117,6.740,7.145,4.069,0
230,-0.979,-0.135,-0.261,9.237,10.160,4.374,0
240,-0.969,-0.141,-0.242,6.649,9.366,3.557,0
250,-0.959,-0.136,-0.210,4.305,7.351,1.985,402
260,-0.979,-0.120,-0.218,4.130,6.389,1.092,0
270,-0.981,-0.107,-0.223,4.282,6.412,0.802,0
280,-0.982,-0.108,-0.240,2.908,6.183,1.313,0
290,-0.983,-0.108,-0.250,0.374,5.427,1.435,0
300,-0.974,-0.119,-0.240,-0.634,5.130,2.092,388
310,-0.959,-0.122,-0.233,1.084,6.145,2.458,0
320,-0.956,-0.114,-0.229,1.298,6.336,2.313,0
330,-0.955,-0.111,-0.228,1.611,6.176,1.405,0
340,-0.961,-0.102,-0.225,1.504,6.053,0.649,0
350,-0.964,-0.091,-0.224,1.748,5.893,-0.023,402
360,-0.973,-0.091,-0.234,1.122,4.550,-0.794,0
370,-0.977,-0.083,-0.239,0.481,3.992,-0.824,0
380,-0.974,-0.083,-0.245,0.214,3.061,-0.710,0
390,-0.975,-0.084,-0.241,-0.015,2.473,-0.756,0
400,-0.973,-0.087,-0.251,-0.840,1.756,-0.550,431
410,-0.969,-0.090,-0.257,-2.099,0.656,-0.076,0
420,-0.966,-0.088,-0.247,-2.008,0.313,0.084,0
430,-0.963,-0.088,-0.233,-2.863,0.176,0.557,0
